Route,Airline,Plane,Stops
YIB?VAW,NZ,A333,0
YIO?VDS,9W,A319,0
YJN?MBZ,PR,A346,0
YJT?NCU,4O,A346,0
YKA?IQT,CP,727,0
YKF?PAS,QK,DH8,0
YKL?YUY,TK,CRJ7,0
YKY?KHE,B6,A346,0
YKZ?YUS,9W,B753,0
YLD?LTN,K4,B734,0
YLJ?YFS,4O,CRJ7,0
YLL?BCL,SK,787,0
YLT?ERL,NK,A300,0
YLW?NYA,WN,DC10,0
YMA?KSF,US,DC-8,0
YMJ?PTG,5Y,MD83,0
YMM?WKL,CA,DC10,0
YMO?VIX,B6,B788,0
YMW?SZS,MX,B753,0
YMX?ABZ,NW,MD-90,0
YNA?SCM,CP,B737,0
YND?KTN,SY,B739,0
YNM?MNI,CA,DC-8,0
YOC?MMH,2Q,DC10,0
YOD?CTL,CK,E175,0
YOJ?CHT,CX,B764,0
YOW?CAI,YV,DC-10,0
YPA?AGR,QF,MD-90,0
YPE?MEL,AS,C-99,0
YPG?YDN,XE,A343,0
YPL?WSD,AB,A340,0
YPN?ORN,KE,A300,0
YPQ?CNY,PR,767,0
YPR?KHS,CP,A346,0
YPY?LIT,FI,B733,0
YQA?THE,MQ,B738,0
YQB?TAR,TK,A330,0
YQF?MSR,AB,IL-62,0
YQG?UIP,AA,A343,0
YQH?SAQ,WI,747,0
YQK?PJM,AM,IL-96,0
YQL?WKL,BA,MD11,0
YQM?BTT,XJ,B744,0
YQQ?DBQ,SK,MD-87,0
YQR?DKS,YX,757,0
YQT?VPN,NZ,B734,0
YQU?ITB,TA,764,0
YQV?BZL,TZ,787,0
YQW?AGV,AB,MD-90,0
YQX?AIR,EZ,764,0
YQY?GSP,YX,DH8,0
YQZ?DOY,AY,E175,0
YRB?CUZ,5Y,AN-124,0
YRI?ARW,NZ,B738,0
YRJ?CCV,EK,MD-80,0
YRM?WPR,QF,A380,0
YRT?WVK,BBB,A359,0
YSB?IPN,XJ,B738,0
YSC?YZS,VS,L1011,0
YSJ?CUL,CK,B762,0
YSM?ADF,XJ,764,0
YSR?AZS,SQ,IL-96,0
YSU?MYG,OO,B733,0
YSY?TRU,IB,SA-227,0
YTE?THX,AY,DC-8,0
YTH?GVT,FJ,DH8,0
YTR?VCS,A8,MD83,0
YTS?ULA,RW,B789,0
YTZ?AAL,KL,B734,0
YUB?KKE,GL,A310,0
YUL?CZF,AM,E175,0
YUT?RAK,MQ,SA-227,0
YUX?URC,TA,B736,0
YUY?SKB,SK,A388,0
YVC?YQQ,CP,B788,0
YVG?LWT,LX,A319,0
YVM?NDC,AB,B773,0
YVO?OUE,WS,B789,0
YVP?KEL,AM,L1011,0
YVQ?GUC,9W,DC-9,0
YVR?NVP,LH,DC-8,0
YVT?YOS,ER,A300,0
YVV?VIR,OZ,A332,0
YWA?LOO,YX,B752,0
YWG?MNS,AS,B744,0
YWK?ECI,2Q,DC10,0
YWL?NOD,FJ,A333,0
YWY?SIJ,B6,MD11,0
YXC?NTD,FL,B712,0
YXD?MXI,XE,B733,0
YXE?KMW,EI,E190,0
YXH?HOT,BR,B773,0
YXJ?JOS,TZ,DC-10,0
YXL?CAN,FL,B742,0
YXP?SZY,CV,717,0
YXR?PYM,YV,E170,0
YXS?CBF,5X,MD83,0
YXT?PUJ,NW,B789,0
YXU?IXV,4O,B-99,0
YXX?RMT,MU,B712,0
YXY?CFR,QF,E170,0
YYB?ECH,EI,IL-62,0
YYC?ZAL,MQ,A333,0
YYD?ATB,GL,B788,0
YYE?YEI,PR,B764,0
YYF?ALH,CI,DC-8,0
YYG?VTZ,SQ,B773,0
YYH?ZKP,HA,B744,0
YYJ?FNC,LH,B735,0
YYL?GNY,SQ,A380,0
YYN?PTJ,GL,MD11,0
YYQ?KRC,WW,747,0
YYR?BAQ,JL,A346,0
YYT?PMR,JL,747,0
YYU?FTU,AC,A310,0
YYW?YXZ,CV,B736,0
YYY?BRE,KZ,A343,0
YYZ?DSA,B6,MD83,0
YZD?TAI,WS,CRJ7,0
YZE?MEM,9W,MD11,0
YZF?PUZ,WW,MD-90,0
YZH?TRO,AI,A330,0
YZP?MDS,KL,B712,0
YZR?BMI,HX,CRJ7,0
YZT?MUR,QF,A380,0
YZU?LCG,EZ,B735,0
YZV?ERZ,AY,AN-124,0
YZW?AQG,G4,MD-11,0
YZX?UEL,CA,777,0
ZFA?ART,K4,MD11,0
ZFM?SAK,FX,B788,0
QLD?SHD,BA,DC-8,0
BUJ?LUN,FL,AN-124,0
BJA?PBU,9W,B777,0
ALG?SIK,GB,B734,0
DJG?ASS,XP,B752,0
VVZ?DMT,WI,E175,0
TMR?MSH,JL,B738,0
GJL?HOT,SK,A343,0
MZW?FPO,CM,A321,0
AAE?GRP,AI,B748,0
CZL?NJK,CV,CRJ7,0
TEE?TET,AS,747,0
HRM?VIX,DH,MD-11,0
TID?GSE,US,MD-90,0
TIN?PRV,AS,B762,0
CFK?NDU,OO,DC-9,0
TAF?PGK,A8,B744,0
TLM?GOA,EK,B772,0
ORN?ESR,LX,MD90,0
BFW?OTM,AA,A300,0
MUW?HYN,CM,E175,0
AZR?LTS,FJ,MD-88,0
BSK?KNX,YX,DC10,0
ELG?KNF,DL,B712,0
GHA?BFP,MQ,DC-10,0
HME?LKZ,HX,DH8,0
INZ?WBU,WS,A333,0
TGR?VRC,SK,B764,0
LOO?OTP,TZ,MD-88,0
TMX?LSY,QF,A124,0
OGX?PVO,XJ,B742,0
IAM?LAJ,OZ,DC-10,0
COO?ULZ,EV,DC-8,0
OUA?ANR,AS,B712,0
BOY?ZQL,ER,A359,0
ACC?QRA,Y4,B737,0
TML?BOG,AA,747,0
NYI?KMO,EV,DC10,0
TKD?KDI,AA,E170,0
ABJ?WOE,CZ,MD-80,0
BYK?PLM,B6,B763,0
DJO?LPI,HX,PA-31,0
HGO?HGL,B6,A332,0
MJC?AOC,IB,B763,0
SPY?BVS,WO,B777,0
ASK?IDP,EK,A318,0
ABV?GGW,K4,777,0
AKR?CFG,NW,CRJ7,0
BNI?PMZ,AA,MD-87,0
CBQ?PFJ,OZ,A318,0
ENU?TUG,CZ,CRJ7,0
IBA?CWT,WW,767,0
ILR?UMD,SQ,MD-87,0
JOS?YSP,VS,E170,0
KAD?CKZ,WO,B777,0
KAN?KTE,JL,B772,0
MIU?DJO,WN,A319,0
MDI?IND,KR,B789,0
LOS?WOE,5Y,B712,0
MXJ?NTX,IB,A318,0
PHC?RGO,LP,B735,0
SKO?LKL,YX,767,0
YOL?DTA,XP,A343,0
ZAR?PPS,AY,A330,0
MFQ?LID,SE,CRJ9,0
NIM?KSL,5Y,B772,0
THZ?URT,MT,B738,0
AJY?HMG,KZ,A319,0
ZND?DAY,JL,PA-31,0
MIR?VLI,NK,MD11,0
TUN?YTE,NZ,B734,0
GAF?YRQ,CV,DH8,0
GAE?HSG,MU,A318,0
DJE?WMX,MU,MD-88,0
EBM?CHU,AC,B748,0
SFA?BBD,TZ,B777,0
TOE?LZY,EY,787,0
LRL?MRY,bxr,A340,0
LFW?CIU,GB,B777,0
ANR?MAU,YX,CRJ7,0
BRU?YKY,NW,B712,0
CRL?YYG,VS,DC10,0
KJK?GRX,YV,A330,0
LGG?KTG,NZ,B777,0
OST?LCY,XE,E175,0
OBL?SBS,TZ,B789,0
AOC?HOV,UA,A346,0
IES?DAY,LX,M90,0
REB?UAQ,NK,A346,0
QXH?WMX,5Y,MD11,0
BBH?SZS,TZ,MD-11,0
ZMG?OUK,YV,E190,0
CBU?NSO,MU,B712,0
SXF?VHZ,GL,B762,0
DRS?MIP,bxr,EMB,0
ERF?KTG,HX,B763,0
FRA?PSR,WW,MD90,0
FMO?SVN,OZ,A359,0
HAM?ISJ,UA,B748,0
THF?ZTH,QF,717,0
CGN?SGI,VX,C-99,0
DUS?KOQ,RW,B748,0
MUC?FNU,KL,A359,0
NUE?IRZ,KZ,MD11,0
LEJ?SGR,TK,A330,0
SCN?WBM,EY,B789,0
STR?WIN,KL,B748,0
TXL?DNR,NK,AN-124,0
HAJ?CWJ,LX,B737,0
BRE?BLZ,MU,737,0
QEF?GWO,MX,B737,0
HHN?ZAD,NZ,C-99,0
MHG?BSG,9W,DC10,0
EIB?LII,LP,MD-88,0
SGE?CED,NH,DC10,0
XFW?PUS,MQ,764,0
KEL?AZI,SE,B737,0
LBC?TBP,EI,MD11,0
ESS?SPW,PR,EMB,0
BFE?NOT,XP,CRJ9,0
MGL?APG,GL,B736,0
PAD?OYO,2Q,L1011,0
DTM?JZH,bxr,A388,0
AGB?KPV,2Q,A300,0
OBF?DGL,LP,767,0
RBM?OCM,XE,IL-96,0
FDH?ZUH,FJ,SSR-100,0
SZW?FUJ,TZ,DC-10,0
BYU?PCN,SK,A320,0
URD?BWN,FI,B738,0
HOQ?HVS,WN,B753,0
ZQW?ZMT,LP,737,0
ZQL?COF,5Y,A124,0
BWE?GYE,AC,B763,0
KSF?PKB,A8,CRJ7,0
BRV?APZ,AB,B752,0
EME?SAN,EZ,A333,0
WVN?ANB,SY,MD83,0
BMK?MTN,YV,767,0
NRD?LJA,5Y,B734,0
FLF?AWK,A8,737,0
GWT?MBA,VX,DC-9,0
KDL?HDH,LH,A343,0
URE?DKV,DL,DH8,0
EPU?PPR,BBB,727,0
TLL?CSG,AB,A359,0
TAY?MFX,SQ,MD-80,0
ENF?WVB,GB,MD-90,0
KEV?WIR,NW,B735,0
HEM?SDL,NZ,A343,0
HEL?IUE,KZ,B744,0
HYV?SFK,K4,B737,0
KTQ?NER,NW,DC-9,0
IVL?FYV,AA,B712,0
JOE?IXR,OO,B772,0
JYV?KSL,BR,777,0
KAU?MRE,GB,MD-90,0
KEM?SIQ,AY,A318,0
KAJ?ADE,MX,777,0
KHJ?JYR,KR,B739,0
KOK?JUB,JL,764,0
KAO?YCW,EK,A388,0
KTT?GLI,US,B736,0
KUO?TKA,KR,B744,0
QLF?OKD,EV,B777,0
LPP?PKZ,FJ,B773,0
MHQ?BJO,DL,B764,0
MIK?EVV,FX,B762,0
OUL?ISA,2Q,B764,0
POR?KMH,DL,B712,0
RVN?ENO,K4,A333,0
SVL?OBO,5Y,PA-31,0
SOT?PNT,XP,B739,0
TMP?CIS,LX,B752,0
TKU?LPG,KE,717,0
UTI?CRK,AM,A300,0
VAA?KDL,EV,A300,0
VRK?TDJ,9W,IL-96,0
YLI?WRL,EY,AN-124,0
BFS?CTG,XP,SA-227,0
ENK?SUK,EV,777,0
BHD?GIR,YV,A333,0
LDY?KVD,XE,B773,0
BHX?XGN,4O,B753,0
CVT?DNL,WO,E175,0
GLO?BQJ,WS,A380,0
GBA?RGA,EZ,747,0
MAN?ALW,2Q,SSR-100,0
NQY?EDL,RW,A333,0
LYE?RPB,EY,747,0
YEO?OMF,BA,A333,0
HAW?SIO,LH,B737,0
CWL?CUA,MX,EMB,0
SWS?GIT,WO,EMB,0
BRS?KVL,BA,E175,0
LPL?TJU,B6,DC10,0
LTN?MCW,2Q,A332,0
PLH?ADU,HA,B742,0
BOH?EIS,DH,DC-9,0
SOU?CPC,B6,B748,0
QLA?KUG,AB,MD90,0
ACI?VTU,4O,MD11,0
GCI?OSH,KZ,IL-96,0
JER?NOP,QX,IL-62,0
ESH?NLP,AC,B763,0
BQH?BLI,KZ,B712,0
LGW?DOL,CM,A318,0
LCY?LBS,FL,E170,0
FAB?KRY,HX,E170,0
BBS?LRE,AY,SSR-100,0
LHR?YKL,NZ,A330,0
SEN?ULN,MT,B763,0
LYX?TEI,WO,A310,0
MSE?WJF,SE,MD11,0
CAX?PAB,GL,B735,0
BLK?OAI,ER,737,0
HUY?ARW,B6,MD-90,0
BWF?SYQ,XP,B763,0
LBA?CAW,EI,MD11,0
WRT?DIG,WW,E170,0
CEG?SPA,AM,A343,0
IOM?GYM,HA,B788,0
NCL?BTH,MT,B788,0
MME?ACZ,MU,B735,0
EMA?ZOS,XE,MD-80,0
KOI?WRG,NZ,IL-96,0
LSI?CCY,CP,SA-227,0
WIC?KRH,4O,B763,0
ABZ?VHV,HX,MD90,0
INV?TOF,IB,767,0
GLA?XQP,B6,A319,0
EDI?LUC,LP,A330,0
ILY?PEI,WI,CRJ9,0
PIK?HOX,QK,B789,0
BEB?RTB,WI,MD-88,0
SCS?RME,NK,E190,0
DND?WKB,EZ,DC-9,0
SYY?PBF,CP,A310,0
TRE?DPS,G4,B712,0
ADX?VBP,4O,B744,0
LMO?BUW,5X,B744,0
CBG?FNT,AS,B739,0
NWI?SCU,MQ,B764,0
STN?FSM,KE,A346,0
EXT?LGC,AB,MD90,0
FZO?UUN,AB,MD-80,0
OXF?KLX,ER,DC-9,0
BEX?ULZ,UA,787,0
LKZ?TSX,4O,SA-227,0
MHZ?FSM,CM,B739,0
QUY?IDY,WS,E170,0
FFD?XUZ,Y4,MD11,0
BZZ?BXP,FI,B764,0
ODH?DFW,AC,CRJ9,0
NHT?CFK,NK,B733,0
QCY?MLA,Y4,MD83,0
BEQ?CAI,BA,SA-227,0
SQZ?TXF,WS,MD11,0
HRT?IQT,VS,B762,0
WTN?RBL,BR,A359,0
KNF?TOS,CZ,B-99,0
MPN?CSK,F9,A343,0
AMS?ALH,OO,A321,0
MST?RDG,HA,L1011,0
EIN?YOW,MX,B762,0
GRQ?PIL,4O,MD83,0
GLZ?MBI,XP,A388,0
DHR?EWB,KL,A310,0
LEY?MEM,TK,A340,0
LWR?SYX,BA,B739,0
RTM?IRG,GB,DC-9,0
UTC?RYN,MT,A333,0
ENS?LAS,GB,SSR-100,0
LID?MRE,LP,A124,0
WOE?MLY,GB,A332,0
ORK?ETZ,2Q,IL-62,0
GWY?JOT,EY,SA-227,0
DUB?WKI,LP,A340,0
NOC?BKL,WS,A346,0
KIR?ZAZ,QK,B736,0
SNN?MYJ,WI,737,0
SXL?VIL,CI,B734,0
WAT?FUO,AB,CRJ9,0
AAR?ACZ,CV,A343,0
BLL?NAG,FX,A124,0
CPH?BND,BBB,B737,0
EBJ?TPN,CX,MD-11,0
KRP?IDR,LX,767,0
BYR?TAE,F9,B777,0
MRW?LXG,LP,A330,0
ODE?OVB,FL,A300,0
RKE?GPS,CA,A346,0
RNN?RSD,AF,MD90,0
SGD?VNX,5Y,IL-96,0
SKS?REL,WS,IL-62,0
SQW?DIE,MQ,A359,0
TED?HTN,TK,IL-96,0
FAE?MAX,2Q,B748,0
STA?SBR,SK,787,0
AAL?IKT,K4,MD11,0
LUX?SAP,CP,B777,0
AES?EUF,YX,A321,0
ANX?JGN,KE,IL-62,0
ALF?JEG,FX,A346,0
BNN?YDQ,HA,B733,0
BOO?PMR,PR,A388,0
BGO?YRM,K4,MD90,0
BJF?ZTB,RW,PA-31,0
KRS?HRK,YX,A340,0
DLD?DNH,NZ,B736,0
BDU?WUS,QF,AN-124,0
EVE?BUJ,GL,717,0
VDB?FNL,MQ,E190,0
FRO?TAK,QK,A340,0
OSL?KLS,NH,B744,0
HAU?MMB,KR,B764,0
HAA?WHP,bxr,MD-87,0
KSU?VDB,NK,B763,0
KKN?HVB,WI,B789,0
FAN?LIY,TZ,SA-227,0
MOL?GGT,TZ,A359,0
MJF?SFO,NZ,B753,0
LKL?TUV,WS,A318,0
NTB?GNM,AI,737,0
OLA?HUH,PR,A346,0
RRS?KGI,EV,717,0
RYG?VEY,AB,B734,0
LYR?YAT,MT,B742,0
SKE?GXF,MT,CRJ9,0
SRP?TPL,SK,C-99,0
SSJ?CIS,MX,MD11,0
TOS?BCU,FI,B753,0
TRF?JAD,OZ,L1011,0
TRD?JAI,KE,MD-80,0
SVG?KDM,EK,A340,0
GDN?PEG,AB,E190,0
KRK?DDG,SE,A340,0
KTW?JRN,MU,E175,0
POZ?SNY,K4,A310,0
RZE?UIO,IB,777,0
SZZ?BRN,CZ,A319,0
OSP?APF,GB,B788,0
WAW?LNZ,UA,MD83,0
WRO?YMW,VS,MD11,0
IEG?BPN,CA,B789,0
RNB?DNN,WS,MD-90,0
GOT?RNN,MQ,B763,0
JKG?BDR,AB,CRJ7,0
LDK?GMO,CX,DC-8,0
GSE?ALI,SE,777,0
KVB?YXR,9S,AN-124,0
THN?KGK,CI,A340,0
KSK?SZW,WS,A343,0
MXX?SLL,IB,B733,0
NYO?BRQ,LP,727,0
KID?HUN,TA,A319,0
OSK?TOQ,OO,MD83,0
KLR?MAK,TK,A318,0
MMX?PPS,CV,IL-62,0
HAD?DGE,2Q,E175,0
VXO?VNO,LP,A388,0
EVG?CCI,Y4,A310,0
GEV?BUF,ER,757,0
HUV?SGE,NK,767,0
KRF?MEO,KR,A359,0
LYC?TKT,LP,E175,0
SDL?SME,AS,A310,0
OER?YKN,CI,B777,0
KRN?EWR,5Y,A330,0
SFT?BPX,SE,727,0
UME?JVA,LX,A310,0
VHM?TXK,GL,MD-11,0
AJR?PUQ,SY,SA-227,0
ORB?JKH,HA,MD83,0
VST?MYA,NW,B764,0
LLA?GED,bxr,SA-227,0
ARN?MKQ,WI,DH8,0
BMA?WKJ,KZ,B762,0
BLE?EAT,CV,B733,0
HLF?WJU,AF,EMB,0
GVX?APL,AY,C-99,0
LPI?OMB,AB,MD-88,0
NRK?ZQW,GL,B742,0
EKT?RZS,VS,A333,0
VBY?CTM,XP,777,0
SPM?FRS,K4,C-99,0
RMS?PCD,WS,B744,0
GHF?PSR,5Y,767,0
ZCN?JHW,AM,DC-9,0
FRZ?DBA,KL,CRJ7,0
ZNF?LZY,HX,MD11,0
KZG?SHX,MU,B738,0
FCN?WWD,WS,B738,0
GKE?YGO,5X,MD83,0
RLG?LVI,WN,A333,0
WBG?PTM,IB,A340,0
WIE?OAS,SE,SA-227,0
FEL?CUD,MT,MD-87,0
IGS?IAG,XJ,B733,0
GUT?KOS,QX,IL-96,0
ALJ?FAA,NH,E175,0
AGZ?DLG,AF,IL-96,0
BIY?SYT,ER,B739,0
BFN?BOM,CX,MD83,0
CPT?YWA,CK,787,0
DUR?MNL,FI,IL-96,0
ELS?RVT,AF,A343,0
FCB?PAG,CV,E170,0
GCJ?ASF,OO,DC-9,0
GRJ?AVV,TK,B748,0
HRS?ZNA,TK,767,0
HDS?TOE,BA,A332,0
JNB?PEM,WO,IL-96,0
KXE?CLJ,TZ,B737,0
KIM?TAH,BA,B734,0
KMH?RBD,FL,A380,0
KLZ?FTW,WO,MD-90,0
HLA?MRF,XJ,C-99,0
SDB?RKV,HX,A332,0
LAY?YHO,TA,A124,0
MGH?RIS,5X,MD-87,0
LLE?TUK,CX,A340,0
MZQ?TMI,CK,B763,0
NCS?LMT,9W,B752,0
OVG?RRG,EK,A346,0
OUH?KYI,FJ,CRJ7,0
PLZ?DOD,KR,MD-87,0
PBZ?GLF,K4,A332,0
PHW?SYY,G4,A320,0
JOH?PHC,QX,B742,0
PZB?CAU,KL,A330,0
NTY?CGX,SQ,737,0
PTG?PHC,ER,757,0
PCF?DUG,QF,787,0
UTW?YGG,CK,A388,0
RCB?TIV,2Q,B762,0
ROD?MMI,FJ,EMB,0
SBU?RUK,OO,787,0
ZEC?YZH,LX,A388,0
SIS?TJS,NW,B734,0
SZK?RGA,BF,A321,0
LTA?DRE,MX,CRJ7,0
ULD?XSI,KZ,B742,0
UTN?VRN,TA,EMB,0
UTT?IRC,BF,A359,0
VRU?LNZ,LH,A380,0
VIR?BOR,TZ,B738,0
VRE?PVK,QF,CRJ9,0
PRY?KAD,PR,MD11,0
WKF?PER,G4,757,0
FRW?EGV,G4,DC10,0
JWA?POT,OZ,B788,0
BBK?AGN,BR,MD83,0
MUB?OMO,QK,717,0
GBE?OPS,BA,A318,0
PKW?ADD,HX,A300,0
BZV?SQO,QF,DH8,0
FTX?PSE,AM,B738,0
OUE?SEF,AM,747,0
PNR?PEK,EZ,A310,0
MTS?ASA,KR,A333,0
BGF?MJV,NZ,B735,0
BBT?CLL,MT,A340,0
BSG?DAX,FX,A321,0
SSG?KYI,OZ,A310,0
ASI?VPN,MX,747,0
MRU?ZIS,VX,B742,0
RRG?EYK,EV,CRJ7,0
NKW?ILY,SK,MD-88,0
TKC?CYX,TK,A318,0
DLA?ILR,OO,L1011,0
MVR?HUQ,RW,MD-90,0
FOM?JCH,FX,B788,0
NGE?PPT,XP,B734,0
GOU?USR,MX,767,0
BFX?TYF,EV,PA-31,0
BPC?MXF,VX,B744,0
YAO?ASN,KZ,A359,0
CGJ?IPL,NW,A343,0
LVI?CLO,CM,A300,0
LUN?MDQ,JL,B788,0
MFU?MBA,NZ,MD-87,0
MNR?BOD,HX,B777,0
NLA?ZVK,BBB,B734,0
KIW?CCV,Y4,M90,0
HAH?WBQ,AC,787,0
NWA?SCL,XP,B762,0
AJN?RZR,OO,A388,0
DZA?LYC,AI,EMB,0
RUN?MUC,SE,A330,0
ZSE?PLW,A8,B734,0
TNR?BZU,5Y,MD-11,0
ZVA?CEN,XJ,A388,0
SMS?GHC,AY,A330,0
TMM?BKM,TZ,MD-88,0
MOQ?SPF,EK,A388,0
DIE?GGS,ER,737,0
WMR?FAZ,CP,A124,0
ZWA?BYF,BA,MD-11,0
AMB?PLL,AI,B762,0
ANM?NOS,KZ,A380,0
HVA?HLP,CA,B773,0
MJN?BOW,CZ,B764,0
NOS?TOA,AC,787,0
BPY?BIN,K4,SA-227,0
WMN?ISJ,GL,DC-10,0
SVB?PMZ,AI,B777,0
VOH?NJK,NH,787,0
WAI?MGW,WN,L1011,0
IVA?MSJ,UA,B733,0
FTU?CZS,KL,727,0
WFI?YWP,KZ,A332,0
RVA?MSO,9S,EMB,0
WVK?XME,MQ,A300,0
MNJ?CLM,MQ,A124,0
MXM?BFI,AA,A359,0
TLE?SHW,5Y,757,0
SSY?EGC,AF,IL-62,0
BUG?ICC,NH,A300,0
CAB?MFN,YX,DC10,0
NOV?SZB,9S,A321,0
SVP?REY,CM,A124,0
LAD?FDU,WW,B763,0
MEG?MCH,AY,B734,0
SPP?CHS,FL,PA-31,0
GXG?PSG,LX,B752,0
PBN?TCG,EK,B738,0
VHC?EBU,MT,PA-31,0
SZA?FRI,AC,B738,0
SDD?SAB,ER,CRJ9,0
LUO?TMB,LP,A333,0
UGO?KHM,AA,CRJ7,0
XGN?OXF,LH,AN-124,0
OYE?TMP,BA,CRJ7,0
OKN?BLJ,CI,A359,0
LBQ?YQM,IB,MD-80,0
BMM?BWU,SY,A318,0
POG?CGD,NH,A330,0
OMB?YEK,AC,SSR-100,0
MKU?QGU,LH,A333,0
LBV?BDA,5Y,B-99,0
MVB?GOV,WN,A380,0
PCP?RVD,AB,757,0
TMS?WKA,EV,PA-31,0
BEW?CJF,BBB,MD-87,0
INH?GNR,AY,AN-124,0
VXC?QSC,CK,PA-31,0
LFB?IXW,FL,B764,0
MPM?VKG,4O,E170,0
MUD?PLN,CM,MD11,0
MZB?SAL,WW,A330,0
MNC?BSJ,OO,MD-11,0
APL?BZI,MU,L1011,0
POL?LEN,G4,MD-88,0
UEL?PPL,WI,B738,0
TET?FCB,LX,A359,0
VNX?NQY,AF,A321,0
DES?BKK,SK,B742,0
SEZ?ALJ,LX,767,0
PRI?AUU,DH,B772,0
AEH?EBJ,SQ,A319,0
MQQ?ART,G4,A343,0
NDJ?MFJ,QK,PA-31,0
FYT?PTM,WI,A300,0
BUQ?TGQ,BR,DH8,0
BFO?BAS,XJ,A310,0
VFA?VSA,EY,717,0
HRE?YKG,AY,A343,0
KAB?STI,DL,777,0
UTA?WNA,A8,C-99,0
MVZ?YLY,XJ,A332,0
GWE?BBT,WW,A359,0
HWN?NGO,NW,B762,0
BLZ?ORA,5Y,B738,0
KGJ?YCC,TA,MD-80,0
KBQ?PEW,XP,A321,0
LLW?LJU,2Q,787,0
ZZU?MJM,SY,DH8,0
MSU?KLH,FI,727,0
FIH?PAE,F9,B-99,0
NLO?GZO,AA,MD-87,0
MNB?SOU,CV,SA-227,0
FDU?KGI,US,A380,0
KKW?ASJ,RW,M90,0
MDK?MQS,EI,B712,0
BDT?HNH,US,A346,0
GMA?AXR,AA,B762,0
KLI?LAD,QX,MD-80,0
LIQ?BYT,BR,C-99,0
FKI?NZC,XE,A388,0
IRP?MYW,5X,EMB,0
BUX?MEE,US,MD-11,0
BZU?SHM,AY,B752,0
BKY?DZN,K4,MD11,0
GOM?CIS,PR,A319,0
KND?GXQ,EV,E175,0
FBM?LEI,MX,B788,0
KWZ?OTI,BBB,B738,0
FMI?PAL,ER,IL-62,0
KMN?MIJ,LH,SA-227,0
KGA?TCG,KL,727,0
MJM?SXI,BF,B737,0
BKO?HME,AA,MD-88,0
GAQ?DTA,NK,A320,0
KYS?JOK,AA,764,0
MZI?PWQ,RW,757,0
TOM?XSC,WS,B733,0
BJL?LHV,WW,SSR-100,0
FUE?LWT,PR,A340,0
VDE?LEQ,YV,B744,0
SPC?TIX,G4,B763,0
LPA?YZV,CM,B744,0
ACE?PID,EZ,A320,0
TFS?SHH,CZ,CRJ9,0
TFN?IRJ,FI,A359,0
MLN?AKH,MQ,B744,0
FNA?BGY,RW,B738,0
MLW?IXR,WS,SSR-100,0
ROB?SEH,NW,E175,0
AGA?NKT,CI,A318,0
TTA?XRH,KR,B777,0
FEZ?EOI,WN,EMB,0
ERH?TSR,AC,SA-227,0
MEK?ABS,BBB,A333,0
OUD?YGT,EK,DC-9,0
GMD?TND,EI,B742,0
RBA?AMB,Y4,B777,0
CMN?SAY,EV,SA-227,0
RAK?MAH,KR,A340,0
NNA?XMW,9S,MD83,0
OZZ?INQ,MU,B739,0
