Departure,Arrival,Airline,Plane,Departure_Date,Arrival_Date,Number,IATA
YKA,CSM,SK,B748,2025-04-03T02:44:28,2025-04-03T05:28:56,4125,SK4125
BMV,TTL,5Y,CRJ9,2025-04-01T09:25:04,2025-04-01T18:50:08,4666,5Y4666
KMG,STT,NW,SA-227,2025-04-05T17:03:26,2025-04-06T10:06:52,4201,NW4201
YZX,MST,WW,AN-124,2025-04-02T05:47:49,2025-04-02T11:35:38,9285,WW9285
ABM,HDG,Y4,MD-90,2025-04-04T06:51:47,2025-04-04T13:43:34,9425,Y49425
CEM,MSN,WN,EMB,2025-04-06T04:44:02,2025-04-06T09:28:04,1524,WN1524
LDX,ALM,IB,C-99,2025-04-05T07:00:20,2025-04-05T14:00:40,7653,IB7653
SJE,VII,Y4,B762,2025-04-03T20:02:33,2025-04-04T16:05:06,8680,Y48680
LDG,NBO,CK,B735,2025-04-04T08:24:22,2025-04-04T16:48:44,9403,CK9403
WBW,LDY,LH,CRJ9,2025-04-07T05:47:07,2025-04-07T11:34:14,1447,LH1447
JSI,MII,US,717,2025-04-01T11:37:05,2025-04-01T23:14:10,7869,US7869
FTI,WRY,WO,DC-9,2025-04-07T16:54:10,2025-04-08T09:48:20,6062,WO6062
ETM,ROP,CV,B712,2025-04-02T12:36:25,2025-04-03T01:12:50,5394,CV5394
DBB,TDJ,GL,764,2025-04-07T02:57:00,2025-04-07T05:54:00,4696,GL4696
ZQN,TLD,IB,737,2025-04-01T13:03:45,2025-04-02T02:07:30,2745,IB2745
OGN,PPC,AM,B753,2025-04-05T08:21:59,2025-04-05T16:43:58,6730,AM6730
MQF,EIK,NW,B762,2025-04-04T01:51:41,2025-04-04T03:43:22,7511,NW7511
YYR,XCH,KR,B752,2025-04-01T17:08:50,2025-04-02T10:17:40,4940,KR4940
VAG,RKD,bxr,MD-90,2025-04-06T08:44:05,2025-04-06T17:28:10,6541,bxr6541
YYB,LEI,WW,E170,2025-04-03T07:05:20,2025-04-03T14:10:40,4664,WW4664
LVS,ILY,AS,B712,2025-04-02T08:18:30,2025-04-02T16:37:00,4875,AS4875
TEF,MZW,HX,B748,2025-04-03T16:12:54,2025-04-04T08:25:48,6991,HX6991
VCE,MJA,EI,B752,2025-04-07T09:13:12,2025-04-07T18:26:24,3995,EI3995
UOX,RBR,NK,A124,2025-04-05T06:09:49,2025-04-05T12:19:38,3089,NK3089
GGG,RNO,UA,A340,2025-04-02T02:42:20,2025-04-02T05:24:40,4332,UA4332
PPP,OVR,LP,A359,2025-04-02T14:43:23,2025-04-03T05:26:46,2398,LP2398
HBR,PTZ,MT,717,2025-04-03T05:14:14,2025-04-03T10:28:28,8945,MT8945
SHG,APT,K4,DC-8,2025-04-02T06:26:20,2025-04-02T12:52:40,3794,K43794
DRW,TNA,EV,C-99,2025-04-04T06:26:04,2025-04-04T12:52:08,1539,EV1539
CEG,LYG,BBB,IL-96,2025-04-02T09:57:36,2025-04-02T19:55:12,1733,BBB1733
DND,MTN,KL,CRJ9,2025-04-01T06:14:44,2025-04-01T12:29:28,8016,KL8016
BUZ,ETM,NZ,C-99,2025-04-05T01:44:39,2025-04-05T03:29:18,6517,NZ6517
ARH,LYG,AF,B734,2025-04-02T06:50:51,2025-04-02T13:41:42,4787,AF4787
CDJ,CXI,FL,MD11,2025-04-03T13:39:52,2025-04-04T03:19:44,7716,FL7716
NOC,AWA,XJ,B788,2025-04-03T07:37:02,2025-04-03T15:14:04,5740,XJ5740
GIT,WRY,LP,MD11,2025-04-06T08:35:42,2025-04-06T17:11:24,5724,LP5724
MMX,TJG,MU,A343,2025-04-01T12:27:45,2025-04-02T00:55:30,8636,MU8636
SAY,OWB,CV,CRJ7,2025-04-07T08:53:54,2025-04-07T17:47:48,6577,CV6577
YPD,VTB,CP,A330,2025-04-06T08:02:32,2025-04-06T16:05:04,7179,CP7179
CNI,CBR,4O,764,2025-04-03T09:55:05,2025-04-03T19:50:10,5339,4O5339
FRU,BFS,5Y,A310,2025-04-02T06:28:53,2025-04-02T12:57:46,2853,5Y2853
BMU,AIZ,SE,B744,2025-04-05T17:35:22,2025-04-06T11:10:44,9709,SE9709
LPM,SOY,MQ,747,2025-04-03T17:16:39,2025-04-04T10:33:18,8444,MQ8444
LPD,AFS,CM,B-99,2025-04-02T15:26:26,2025-04-03T06:52:52,8202,CM8202
YAM,JMK,TZ,B734,2025-04-06T09:30:16,2025-04-06T19:00:32,2671,TZ2671
OMA,CFC,RW,B777,2025-04-03T10:05:00,2025-04-03T20:10:00,2911,RW2911
LYG,QGU,OO,L1011,2025-04-03T01:51:48,2025-04-03T03:43:36,3189,OO3189
MSN,OGN,MT,B742,2025-04-05T13:24:44,2025-04-06T02:49:28,7895,MT7895
NJF,OMA,WW,A319,2025-04-02T12:23:35,2025-04-03T00:47:10,3418,WW3418
MNM,ZQN,MT,EMB,2025-04-02T16:12:07,2025-04-03T08:24:14,9322,MT9322
HIW,ABM,CA,DC-9,2025-04-01T05:51:06,2025-04-01T11:42:12,8744,CA8744
SUY,KMG,DH,B789,2025-04-01T04:50:58,2025-04-01T09:41:56,7377,DH7377
PKV,LVS,PR,L1011,2025-04-04T09:57:11,2025-04-04T19:54:22,5153,PR5153
JVL,YYR,CP,A332,2025-04-05T02:44:45,2025-04-05T05:29:30,1103,CP1103
EPA,MSN,LX,MD-90,2025-04-02T10:26:37,2025-04-02T20:53:14,7845,LX7845
MCK,OMA,MT,B735,2025-04-01T00:28:13,2025-04-01T00:56:26,9447,MT9447
HKT,HCJ,QK,A346,2025-04-05T02:23:37,2025-04-05T04:47:14,6178,QK6178
XCH,ZQN,AC,E190,2025-04-05T08:02:48,2025-04-05T16:05:36,6463,AC6463
MTC,LVP,CP,A330,2025-04-05T12:35:56,2025-04-06T01:11:52,6320,CP6320
GZW,YSG,BF,747,2025-04-05T10:07:28,2025-04-05T20:14:56,8954,BF8954
AVL,BNG,AA,SSR-100,2025-04-03T03:33:08,2025-04-03T07:06:16,9273,AA9273
PTZ,TTL,IB,E190,2025-04-05T13:04:25,2025-04-06T02:08:50,4628,IB4628
HOA,RZS,AB,A380,2025-04-04T05:01:49,2025-04-04T10:03:38,2074,AB2074
CBU,APL,WW,B762,2025-04-04T08:53:26,2025-04-04T17:46:52,5780,WW5780
LAO,LDX,AI,B712,2025-04-03T19:40:43,2025-04-04T15:21:26,6909,AI6909
PDL,HUN,LX,B-99,2025-04-03T14:01:42,2025-04-04T04:03:24,2265,LX2265
HRG,VTB,FJ,B736,2025-04-02T03:32:44,2025-04-02T07:05:28,4912,FJ4912
TMS,DLK,XP,MD-88,2025-04-05T15:54:09,2025-04-06T07:48:18,2252,XP2252
EMT,CMU,NH,B752,2025-04-06T12:31:44,2025-04-07T01:03:28,9712,NH9712
GOV,SFS,GB,B748,2025-04-05T03:59:51,2025-04-05T07:59:42,6498,GB6498
BRL,HKT,VX,A330,2025-04-06T16:28:08,2025-04-07T08:56:16,5353,VX5353
PEW,OGN,HX,AN-124,2025-04-05T05:44:27,2025-04-05T11:28:54,3032,HX3032
SDR,MII,WO,B736,2025-04-05T09:51:58,2025-04-05T19:43:56,8610,WO8610
LUN,OVR,BF,B712,2025-04-03T10:05:12,2025-04-03T20:10:24,5789,BF5789
ZSA,KDH,FJ,MD83,2025-04-05T14:14:43,2025-04-06T04:29:26,7226,FJ7226
OGD,LPM,MQ,MD-87,2025-04-07T11:49:50,2025-04-07T23:39:40,7720,MQ7720
TNA,OUZ,BR,M90,2025-04-07T13:07:17,2025-04-08T02:14:34,6352,BR6352
WNZ,DED,AF,B739,2025-04-03T04:41:41,2025-04-03T09:23:22,5184,AF5184
LEL,PTZ,XJ,B772,2025-04-03T18:08:32,2025-04-04T12:17:04,8350,XJ8350
PPC,GOJ,CK,A124,2025-04-01T07:08:13,2025-04-01T14:16:26,8377,CK8377
AVK,SHG,WO,A388,2025-04-03T06:33:26,2025-04-03T13:06:52,7069,WO7069
GOJ,MIJ,WW,DC-10,2025-04-03T13:12:54,2025-04-04T02:25:48,5495,WW5495
RBR,MTN,WI,A321,2025-04-01T06:17:45,2025-04-01T12:35:30,7740,WI7740
YNC,LPD,BR,B762,2025-04-01T06:56:08,2025-04-01T13:52:16,3191,BR3191
MII,PDP,AI,B734,2025-04-03T01:41:54,2025-04-03T03:23:48,4560,AI4560
BJI,CFC,XP,764,2025-04-06T10:38:11,2025-04-06T21:16:22,3079,XP3079
STW,BMU,SK,B788,2025-04-01T10:57:37,2025-04-01T21:55:14,5699,SK5699
PAT,KMG,TZ,B764,2025-04-07T02:02:12,2025-04-07T04:04:24,5390,TZ5390
SUX,SVG,AM,PA-31,2025-04-01T07:36:00,2025-04-01T15:12:00,9300,AM9300
PTP,SDR,CV,B748,2025-04-04T07:01:32,2025-04-04T14:03:04,7621,CV7621
CSZ,ATH,WO,B712,2025-04-04T13:47:38,2025-04-05T03:35:16,7322,WO7322
DLK,TJG,WW,B738,2025-04-02T04:22:31,2025-04-02T08:45:02,4874,WW4874
WRY,EIK,DL,747,2025-04-05T03:26:24,2025-04-05T06:52:48,9867,DL9867
WBM,CVM,NK,777,2025-04-05T14:47:40,2025-04-06T05:35:20,7569,NK7569
QGU,MII,BBB,SSR-100,2025-04-07T20:54:58,2025-04-08T17:49:56,4619,BBB4619
WRE,SHG,BBB,B772,2025-04-06T13:15:31,2025-04-07T02:31:02,1356,BBB1356
JGO,BAD,OZ,B712,2025-04-05T05:26:18,2025-04-05T10:52:36,4710,OZ4710
AWA,GLW,A8,DH8,2025-04-02T14:08:53,2025-04-03T04:17:46,8331,A88331
MLM,NYM,CX,A319,2025-04-02T11:56:42,2025-04-02T23:53:24,2492,CX2492
HIN,XAP,AI,B762,2025-04-05T21:44:10,2025-04-06T19:28:20,9675,AI9675
BSR,VOK,TA,A300,2025-04-02T12:09:08,2025-04-03T00:18:16,2319,TA2319
SAN,HYC,WI,M90,2025-04-06T09:58:31,2025-04-06T19:57:02,5800,WI5800
YNM,MKQ,TA,B763,2025-04-06T16:10:03,2025-04-07T08:20:06,2549,TA2549
DWC,ANQ,XP,DH8,2025-04-04T13:08:15,2025-04-05T02:16:30,1356,XP1356
VLC,DLK,BF,M90,2025-04-05T18:18:03,2025-04-06T12:36:06,3824,BF3824
BLA,WNZ,XJ,A321,2025-04-02T17:53:32,2025-04-03T11:47:04,4165,XJ4165
CAB,VTN,VS,DH8,2025-04-03T13:56:52,2025-04-04T03:53:44,4519,VS4519
GLF,QGU,OZ,B733,2025-04-04T15:24:50,2025-04-05T06:49:40,5129,OZ5129
SHD,BYU,QX,MD83,2025-04-01T07:50:00,2025-04-01T15:40:00,8890,QX8890
KDH,APT,QX,A320,2025-04-04T13:40:29,2025-04-05T03:20:58,6647,QX6647
FAB,IPL,A8,AN-124,2025-04-01T09:53:45,2025-04-01T19:47:30,7407,A87407
SZT,YWB,WN,DH8,2025-04-03T05:57:58,2025-04-03T11:55:56,7902,WN7902
LPC,SOY,WW,777,2025-04-02T09:13:50,2025-04-02T18:27:40,7100,WW7100
TJG,VLC,TK,IL-62,2025-04-07T14:03:04,2025-04-08T04:06:08,1080,TK1080
GWL,LEL,CX,B753,2025-04-06T08:36:05,2025-04-06T17:12:10,9248,CX9248
KCO,RKD,WO,B789,2025-04-03T08:39:08,2025-04-03T17:18:16,8674,WO8674
CBR,BOX,AI,MD90,2025-04-05T02:49:57,2025-04-05T05:39:54,7104,AI7104
SVG,WNZ,XP,B773,2025-04-06T09:52:08,2025-04-06T19:44:16,7583,XP7583
JMK,VPZ,MX,B735,2025-04-06T10:05:27,2025-04-06T20:10:54,2437,MX2437
CVM,ROP,9W,A318,2025-04-02T13:29:12,2025-04-03T02:58:24,2348,9W2348
INH,LDG,4O,PA-31,2025-04-07T11:15:44,2025-04-07T22:31:28,2181,4O2181
RBL,DHT,JL,SSR-100,2025-04-06T02:01:23,2025-04-06T04:02:46,9348,JL9348
OGS,NDN,UA,747,2025-04-07T16:14:58,2025-04-08T08:29:56,5489,UA5489
HDE,ARH,HX,M90,2025-04-01T08:53:32,2025-04-01T17:47:04,7236,HX7236
NPA,YNS,BBB,B734,2025-04-02T02:53:29,2025-04-02T05:46:58,1592,BBB1592
NYM,YHB,5Y,MD11,2025-04-03T07:47:19,2025-04-03T15:34:38,1471,5Y1471
STI,ZMT,SQ,E170,2025-04-01T07:18:06,2025-04-01T14:36:12,7541,SQ7541
UVF,LGL,TZ,A359,2025-04-06T20:31:21,2025-04-07T17:02:42,2885,TZ2885
MLO,DLK,KL,A330,2025-04-02T15:48:28,2025-04-03T07:36:56,1795,KL1795
LIL,UVF,WN,SA-227,2025-04-07T07:57:53,2025-04-07T15:55:46,5845,WN5845
OVR,SHD,CA,SA-227,2025-04-04T09:44:34,2025-04-04T19:29:08,6481,CA6481
BQA,VLC,LH,A330,2025-04-02T12:59:09,2025-04-03T01:58:18,8647,LH8647
ROP,VLC,WO,B763,2025-04-03T14:51:13,2025-04-04T05:42:26,3221,WO3221
PLW,FRU,WN,EMB,2025-04-07T07:34:01,2025-04-07T15:08:02,8868,WN8868
STT,QPD,WI,B737,2025-04-02T02:16:23,2025-04-02T04:32:46,9977,WI9977
QLT,RNO,KZ,767,2025-04-05T11:09:09,2025-04-05T22:18:18,6313,KZ6313
BOW,BYU,NZ,A380,2025-04-04T08:58:33,2025-04-04T17:57:06,2732,NZ2732
TBH,LEL,BBB,B733,2025-04-02T03:34:32,2025-04-02T07:09:04,5037,BBB5037
WLK,OGD,NW,AN-124,2025-04-04T04:36:13,2025-04-04T09:12:26,4415,NW4415
FBD,RNO,BR,787,2025-04-03T12:59:21,2025-04-04T01:58:42,7902,BR7902
MZW,NDN,bxr,A300,2025-04-03T17:54:32,2025-04-04T11:49:04,5988,bxr5988
TJA,MII,MU,A330,2025-04-05T01:44:01,2025-04-05T03:28:02,5425,MU5425
ANQ,WRY,MU,B-99,2025-04-04T06:29:45,2025-04-04T12:59:30,8111,MU8111
YHE,CAP,EK,B734,2025-04-07T06:11:34,2025-04-07T12:23:08,4819,EK4819
BOX,KMG,AF,A330,2025-04-07T06:37:47,2025-04-07T13:15:34,3556,AF3556
SPP,BOW,QK,DC-10,2025-04-06T13:16:26,2025-04-07T02:32:52,9250,QK9250
PKN,FNU,FL,747,2025-04-02T12:51:09,2025-04-03T01:42:18,9112,FL9112
BUC,FAA,AC,MD-87,2025-04-02T18:58:45,2025-04-03T13:57:30,5278,AC5278
YNS,CFN,CA,B735,2025-04-06T04:55:32,2025-04-06T09:51:04,6820,CA6820
GLW,CXR,9W,MD90,2025-04-02T16:17:31,2025-04-03T08:35:02,8418,9W8418
GOU,STT,XE,MD-80,2025-04-06T09:36:55,2025-04-06T19:13:50,5225,XE5225
RZS,KCO,AA,EMB,2025-04-01T04:22:58,2025-04-01T08:45:56,5996,AA5996
VAW,SEN,TA,E175,2025-04-03T02:57:01,2025-04-03T05:54:02,2450,TA2450
GII,BOX,AS,SA-227,2025-04-02T18:28:15,2025-04-03T12:56:30,8547,AS8547
RNO,TJA,VS,A333,2025-04-01T10:04:55,2025-04-01T20:09:50,9373,VS9373
BAD,MTC,AM,B773,2025-04-07T01:40:22,2025-04-07T03:20:44,4764,AM4764
DWD,MLM,AS,PA-31,2025-04-05T15:41:37,2025-04-06T07:23:14,9933,AS9933
WSO,LPD,VS,SA-227,2025-04-04T01:46:10,2025-04-04T03:32:20,1835,VS1835
TKG,ABM,XE,MD-87,2025-04-01T04:42:57,2025-04-01T09:25:54,6266,XE6266
CFN,CRE,AA,AN-124,2025-04-03T06:34:06,2025-04-03T13:08:12,4182,AA4182
MHT,SEN,WI,B772,2025-04-02T06:01:30,2025-04-02T12:03:00,3412,WI3412
TBG,VPZ,AF,B762,2025-04-04T15:39:29,2025-04-05T07:18:58,3102,AF3102
OWB,UVF,WN,A380,2025-04-03T04:13:30,2025-04-03T08:27:00,5314,WN5314
CMU,JTY,A8,MD11,2025-04-06T14:42:32,2025-04-07T05:25:04,2403,A82403
IXS,PKV,QK,MD83,2025-04-06T07:02:05,2025-04-06T14:04:10,8157,QK8157
ZMT,DND,XP,A346,2025-04-03T07:49:54,2025-04-03T15:39:48,1286,XP1286
LOO,BUC,NZ,717,2025-04-03T17:27:17,2025-04-04T10:54:34,2710,NZ2710
HLZ,BUZ,LH,747,2025-04-05T16:52:06,2025-04-06T09:44:12,3630,LH3630
AOG,WBW,Y4,E170,2025-04-02T12:06:51,2025-04-03T00:13:42,7810,Y47810
RNA,CSZ,AB,A300,2025-04-02T14:49:51,2025-04-03T05:39:42,8579,AB8579
YOG,OKR,MU,EMB,2025-04-03T15:25:44,2025-04-04T06:51:28,5658,MU5658
NKC,APT,4O,A388,2025-04-04T07:59:01,2025-04-04T15:58:02,6143,4O6143
ALM,JVL,LP,B735,2025-04-07T02:05:24,2025-04-07T04:10:48,6976,LP6976
MJA,KYP,FX,B762,2025-04-04T07:58:38,2025-04-04T15:57:16,7726,FX7726
PFJ,YUY,WN,B753,2025-04-02T04:11:11,2025-04-02T08:22:22,4271,WN4271
BFS,TFF,FL,A388,2025-04-04T09:30:59,2025-04-04T19:01:58,8167,FL8167
ABL,FRU,WI,CRJ7,2025-04-02T07:56:59,2025-04-02T15:53:58,8541,WI8541
TOM,ZLT,PR,A124,2025-04-04T07:03:14,2025-04-04T14:06:28,2890,PR2890
KLF,RKD,EV,757,2025-04-04T07:56:58,2025-04-04T15:53:56,6872,EV6872
PHB,YBR,EY,B733,2025-04-01T09:09:55,2025-04-01T18:19:50,8114,EY8114
SOY,MST,EI,A310,2025-04-02T01:12:16,2025-04-02T02:24:32,6306,EI6306
KKR,MVY,CV,717,2025-04-02T11:25:24,2025-04-02T22:50:48,5551,CV5551
HUU,CSZ,SQ,MD-90,2025-04-07T03:50:45,2025-04-07T07:41:30,1330,SQ1330
LVP,PAT,EZ,B738,2025-04-01T03:35:29,2025-04-01T07:10:58,5046,EZ5046
MAN,TMS,BF,MD-88,2025-04-03T06:45:36,2025-04-03T13:31:12,7933,BF7933
YSG,GOJ,WS,A319,2025-04-04T07:32:35,2025-04-04T15:05:10,8588,WS8588
QRC,INH,WW,B789,2025-04-05T11:15:10,2025-04-05T22:30:20,2765,WW2765
YWS,TEF,FX,DC10,2025-04-06T15:27:00,2025-04-07T06:54:00,2939,FX2939
WDH,MSN,BBB,EMB,2025-04-02T14:48:13,2025-04-03T05:36:26,8405,BBB8405
NGB,OKR,KE,B739,2025-04-02T05:40:07,2025-04-02T11:20:14,1662,KE1662
PSS,RBL,CX,E175,2025-04-01T11:32:34,2025-04-01T23:05:08,4061,CX4061
HOK,ANQ,KR,B734,2025-04-01T17:54:25,2025-04-02T11:48:50,4997,KR4997
MST,IPL,SQ,B753,2025-04-04T10:19:01,2025-04-04T20:38:02,2029,SQ2029
PDP,QLT,DH,MD-87,2025-04-07T12:27:16,2025-04-08T00:54:32,4206,DH4206
TDG,IXS,AF,A330,2025-04-06T04:27:48,2025-04-06T08:55:36,5231,AF5231
